DistrictID,DistrictName,Population,PopulationDensity,UrbanizationIndex,LiteracyRate,PovertyIndex,UnemploymentRate,PolicePerCapita
1,Bengaluru Urban,12000000,12000,95,88.5,8.2,4.5,3.2
2,Bengaluru Rural,2100000,450,35,82.3,12.1,5.8,2.1
3,Mysuru,3500000,480,40,79.8,14.5,6.2,2.5
4,Hubballi-Dharwad,1800000,320,38,77.2,16.8,7.1,1.9
5,Belagavi,2800000,310,28,73.5,19.2,8.5,1.6
6,Kalaburagi,2500000,290,22,68.4,24.7,10.2,1.3
7,Mangaluru,1400000,350,55,83.6,10.5,5.2,2.8
8,Shivamogga,1700000,280,25,74.8,17.3,7.8,1.7
9,Ballari,2100000,300,30,72.1,20.5,9.1,1.5
10,Davangere,1600000,270,20,71.3,18.9,8.2,1.4
11,Tumakuru,2300000,290,22,73.6,17.8,7.5,1.5
12,Udupi,1200000,260,45,82.9,9.8,4.8,2.9
13,Hassan,1800000,250,24,74.2,16.5,7.2,1.6
14,Raichur,1900000,240,18,65.8,26.2,11.5,1.1
15,Kolar,1500000,280,28,74.5,16.2,7.0,1.8
