CaseID,DistrictID,CrimeHeadID,CrimeSubHeadID,RegisteredDate,Latitude,Longitude,AgeYear,GenderID,ResponseTimeMinutes,CaseStatusID,GravityOffenceID,IsRepeatOffender
1,1,1,1,2024-01-15,12.97,77.60,32,1,15,4,2,0
2,1,2,2,2024-01-20,12.93,77.55,27,2,20,4,1,1
3,3,3,3,2024-02-10,12.30,76.65,45,1,25,4,2,0
4,1,4,4,2024-02-18,12.99,77.58,22,2,10,5,1,0
5,2,1,1,2024-03-05,13.00,77.50,38,1,30,4,2,0
6,4,5,5,2024-03-12,15.35,75.10,29,1,18,4,2,0
7,1,6,6,2024-04-01,12.96,77.65,41,2,12,4,2,1
8,5,2,2,2024-04-15,15.85,74.55,33,1,22,4,1,0
9,3,1,1,2024-05-08,12.35,76.70,26,2,28,5,2,0
10,1,7,7,2024-05-22,12.98,77.62,19,1,8,4,1,0
11,6,3,3,2024-06-03,17.30,76.85,51,1,35,4,2,0
12,1,8,8,2024-06-18,12.95,77.57,35,2,14,4,2,1
13,7,4,4,2024-07-01,12.85,74.88,28,1,16,4,1,0
14,1,2,2,2024-07-12,12.97,77.63,44,1,11,5,2,0
15,8,5,5,2024-08-05,14.20,75.40,31,2,20,4,2,0
16,2,1,1,2024-08-20,13.05,77.52,37,1,19,4,1,1
17,1,6,6,2024-09-10,12.94,77.59,23,2,9,4,2,0
18,9,3,3,2024-09-25,15.55,76.85,48,1,32,4,2,0
19,1,7,7,2024-10-08,12.96,77.61,30,1,13,5,1,0
20,10,4,4,2024-10-22,14.30,75.80,36,2,24,4,2,0
21,1,1,1,2024-11-05,12.98,77.56,42,1,17,4,2,1
22,4,8,8,2024-11-15,15.35,75.08,25,2,21,4,1,0
23,1,5,5,2024-12-01,12.97,77.64,34,1,10,5,2,0
24,11,2,2,2024-12-15,13.50,77.10,29,2,26,4,1,0
25,1,3,3,2025-01-10,12.95,77.58,47,1,16,4,2,1
26,5,6,6,2025-01-25,15.82,74.52,38,1,20,4,2,0
27,1,7,7,2025-02-08,12.99,77.60,21,2,11,5,1,0
28,12,1,1,2025-02-20,13.40,74.78,33,1,14,4,2,0
29,1,8,8,2025-03-05,12.96,77.62,39,2,8,4,2,1
30,3,4,4,2025-03-18,12.32,76.68,27,1,23,4,1,0
31,1,2,2,2025-04-02,12.97,77.57,44,1,15,5,2,0
32,13,3,3,2025-04-15,13.10,76.10,50,2,30,4,2,0
33,1,5,5,2025-05-01,12.98,77.59,26,1,12,4,1,1
34,6,6,6,2025-05-18,17.28,76.82,41,1,28,4,2,0
35,1,1,1,2025-06-10,12.95,77.63,35,2,9,5,2,0
36,14,4,4,2025-06-25,16.10,77.00,29,1,22,4,1,0
37,1,7,7,2025-07-08,12.97,77.61,31,1,13,4,2,1
38,4,2,2,2025-07-22,15.38,75.12,47,2,19,4,2,0
39,1,8,8,2025-08-05,12.99,77.58,24,1,10,5,1,0
40,15,3,3,2025-08-20,13.20,78.15,43,1,27,4,2,0
41,1,4,4,2025-09-10,12.96,77.64,36,2,14,4,2,1
42,7,5,5,2025-09-28,12.83,74.85,28,1,18,4,1,0
43,1,6,6,2025-10-12,12.97,77.60,42,1,11,5,2,0
44,2,1,1,2025-10-30,13.02,77.53,33,2,21,4,2,0
45,1,2,2,2025-11-15,12.98,77.62,46,1,16,4,2,1
46,8,7,7,2025-12-01,14.15,75.38,22,1,20,5,1,0
47,1,3,3,2025-12-18,12.95,77.59,39,2,13,4,2,0
48,3,8,8,2026-01-05,12.33,76.71,30,1,15,4,2,0
49,1,4,4,2026-01-20,12.97,77.57,37,1,10,5,1,1
50,5,1,1,2026-02-08,15.80,74.50,44,2,24,4,2,0
