UnitID,UnitName,TypeID,ParentUnit,DistrictID,StateID,Active
1,Cubbon Park Police Station,1,,1,1,TRUE
2,Wilson Garden Police Station,1,,1,1,TRUE
3,Mysuru North Police Station,1,,3,1,TRUE
4,Hubballi City Police Station,1,,4,1,TRUE
5,Belagavi Fort Police Station,1,,5,1,TRUE
6,Ballari Town Police Station,1,,6,1,TRUE
7,Mangaluru East Police Station,1,,7,1,TRUE
8,Shivamogga City Police Station,1,,8,1,TRUE
9,Kalaburagi North Police Station,1,,9,1,TRUE
10,Udupi Town Police Station,1,,10,1,TRUE
11,Whitefield Police Station,1,,1,1,TRUE
12,Vijayanagar Police Station,1,,1,1,TRUE
